Georeference
POINT (-73.9761855723879 40.81173856787257)
POINT (-73.79539836861044 40.528039761692824)
POINT (-74.14356011463175 40.76398302878143)
POINT (-73.96391222572792 40.89050066930274)
POINT (-74.1907441666368 40.85188213634324)
POINT (-74.18314508203714 40.799078642473496)
POINT (-73.97724411439165 40.53337669300614)
POINT (-74.11522958410751 40.746746582410154)
POINT (-73.84899820233755 40.7585739611241)
POINT (-73.87037804983187 40.81657899969908)
POINT (-74.25530927750641 40.74094677618197)
POINT (-73.81104527572121 40.57132093490731)
POINT (-74.0394961510846 40.68814224858054)
POINT (-73.91632825095574 40.562816490556024)
POINT (-73.72140872872231 40.50743736747592)
POINT (-74.03777365508685 40.58130851835568)
POINT (-73.95006882543696 40.51430529785232)
POINT (-74.09086987646036 40.79121895105408)
POINT (-74.15203844148321 40.81282053316603)
POINT (-73.74320032930417 40.658873425333724)
POINT (-74.09207483258433 40.75731327769298)
POINT (-74.08078477444947 40.65319650324416)
POINT (-73.97647830523455 40.52441019774218)
POINT (-74.24227644566469 40.80571097048575)
POINT (-73.82440989434636 40.50119382909245)
POINT (-73.72118474035949 40.586656881999524)
POINT (-74.22715054684598 40.72255200188205)
POINT (-74.08724047518507 40.53184742292367)
POINT (-73.72000674889503 40.7588890381446)
POINT (-73.82645655196599 40.50974764120843)
POINT (-74.00235518822637 40.73070801005175)
POINT (-73.9239474911309 40.5784089980869)
POINT (-74.0668426570122 40.908609015400444)
POINT (-73.75598648937977 40.721069613909386)
POINT (-74.04248642210925 40.52896955991972)
POINT (-73.75803362622861 40.63930767761431)
POINT (-73.87979504661875 40.59065937296363)
POINT (-73.98108682718615 40.566597740984015)
POINT (-74.13318230771397 40.816397107616424)
POINT (-74.24478031552391 40.78327608235745)
POINT (-73.90920380377621 40.85807506564927)
POINT (-74.01019347536598 40.69891564386441)
POINT (-73.8683509458733 40.611130344967634)
POINT (-74.1454301151621 40.50684470251549)
POINT (-73.76887896287097 40.53805863565932)
POINT (-73.81286622250796 40.56623956405141)
POINT (-73.97199032427771 40.51881319537075)
POINT (-73.94971594503845 40.746613489382234)
POINT (-73.91038296559594 40.85035218895796)
POINT (-74.03478913261367 40.597047248885794)
POINT (-74.23567217652622 40.90097540324826)
POINT (-74.07210167247247 40.60878598341096)
POINT (-73.74426482336919 40.516222198192374)
POINT (-73.74533542554583 40.561738988448106)
POINT (-73.9248542553351 40.84171310949283)
POINT (-74.1399332196424 40.63590637928089)
POINT (-74.07750048535735 40.65349299527192)
POINT (-74.13719637922516 40.57051221376743)
POINT (-74.14939108138 40.72451077653176)
POINT (-74.19951148302782 40.616195253870885)
POINT (-73.9575521320009 40.564293860586965)
POINT (-73.85944823355875 40.750813146288856)
POINT (-74.07237951094159 40.68107944896235)
POINT (-73.92388987226848 40.8370830895308)
POINT (-73.7388915208746 40.79405512888076)
POINT (-74.0769267022801 40.71512058287576)
POINT (-73.86037336746169 40.878011832020306)
POINT (-73.9652090923776 40.54409650242581)
POINT (-73.85337471467167 40.749121333038595)
POINT (-73.924339089882 40.65905725578301)
POINT (-73.73226220596274 40.78742788602457)
POINT (-74.10031507501479 40.688829028825836)
POINT (-73.90435730532089 40.83062080276467)
POINT (-73.77379145725041 40.85840671017161)
POINT (-73.72766506489602 40.79807513125047)
POINT (-74.1281078497639 40.503454720831584)
POINT (-74.22451703664595 40.82115945178496)
POINT (-74.15963718405163 40.623744111508024)
POINT (-74.1451657210255 40.537283360780876)
POINT (-74.15635557640373 40.62178176496273)
POINT (-74.02380116175733 40.51812667816994)
POINT (-74.08087150694972 40.815943056354335)
POINT (-74.17604242427343 40.76388382345999)
POINT (-74.19659115183171 40.518727140017454)
POINT (-74.11697881347405 40.84550368398933)
POINT (-74.0082184861191 40.593959721279035)
POINT (-74.05275542143923 40.88578225018156)
POINT (-73.7701631736745 40.864790703473595)
POINT (-73.84928898050744 40.59221411735784)
POINT (-73.71232538938898 40.73256814590932)
POINT (-73.89147910006778 40.8403482661621)
POINT (-74.11630187293507 40.87903968837176)
POINT (-74.18914691337537 40.860046994773555)
POINT (-73.96567244612537 40.7049941753007)
POINT (-73.94857066762583 40.78598420247631)
POINT (-74.21921352552837 40.899989668119325)
POINT (-74.00412079591005 40.8550237324158)
POINT (-74.08810590521041 40.818210777718576)
POINT (-73.79754612441522 40.58953201009559)
POINT (-74.17708296730436 40.53485391202047)
POINT (-73.97187252956358 40.78253249889544)
POINT (-73.92478156665474 40.53284237468005)
POINT (-74.03234570397237 40.68626786702926)
POINT (-74.1747947245136 40.81738416139167)
POINT (-73.82170363505746 40.697952607203646)
POINT (-74.12294314498709 40.62212473414882)
POINT (-74.06162231171366 40.553604827895214)
POINT (-74.11814636897886 40.67918138743738)
POINT (-74.21776135668112 40.59385360273921)
POINT (-73.91306137896412 40.840800378936834)
POINT (-74.11574603967446 40.615954339289495)
POINT (-74.06127772484516 40.841583537430864)
POINT (-73.78675449338036 40.64810078248268)
POINT (-73.71122414277144 40.774512127674406)
POINT (-74.22477715653048 40.56993090713332)
POINT (-73.8859379792647 40.614513033134095)
POINT (-74.17432903068064 40.67434825017037)
POINT (-73.8454104733167 40.90764509791506)
POINT (-74.13411627049307 40.67203102227803)
POINT (-74.0854416475936 40.74602952768775)
POINT (-74.13464159361554 40.57047647165454)
POINT (-74.02004841829573 40.70601939045199)
POINT (-74.08629004592008 40.70526340767509)
POINT (-73.78013222032142 40.61361004006144)
POINT (-73.9915344350775 40.53846312440959)
POINT (-73.73171980262156 40.645033075285)
POINT (-74.19176075362742 40.58675049681432)
POINT (-73.99255075156374 40.88327621092884)
POINT (-73.76723350916903 40.627707660740676)
POINT (-74.09420162032391 40.88640463302466)
POINT (-73.82662378877568 40.80821112819452)
POINT (-73.91318057221693 40.64820601101104)
POINT (-73.81025249668859 40.739208613241466)
POINT (-73.83185788831155 40.52711455816033)
POINT (-73.96936810406102 40.8288210837504)
POINT (-73.72507488026791 40.90551220708816)
POINT (-74.01187477286722 40.832068051312966)
POINT (-73.93561423281294 40.867265369182604)
POINT (-74.18993699170505 40.751028056240244)
POINT (-74.12389615213101 40.63097540301451)
POINT (-73.91180913685166 40.67635085498673)
POINT (-74.07086778609215 40.50604630343524)
POINT (-73.7307075324538 40.626820808612244)
POINT (-73.7150530307621 40.73150151204399)
POINT (-73.8868733871526 40.79943100701389)
POINT (-74.21697211017919 40.79311685897007)
POINT (-74.02839667830598 40.57822077440272)
POINT (-73.92717540100126 40.5659884024275)
POINT (-73.94354456123645 40.8284834771766)
POINT (-73.91941656373118 40.66566210064556)
POINT (-73.95776323003173 40.58960201464904)
POINT (-73.70781222833274 40.62695887569822)
POINT (-74.05417723495674 40.77642472101566)
POINT (-73.90840902419716 40.5262302900646)
